"","Y","X1","X2","X3","X4","X5","X6","X7","X8","X9","x10","x11","x12","x13","Degree"
"292",25333,23500,4702,2794,21003,649,929,707,3035,22,53,12,9,3,3
"293",33014,30629,5546,1851,13732,396,782,356,1078,23,41,13,9,4,4
"294",33992,31715,5824,2444,14545,600,851,489,1439,24,45,15,5,7,4
"295",25941,24192,4155,2012,13909,497,759,392,1405,13,81,21,5,1,3
"296",21014,19492,974,793,3995,193,340,134,408,8,18,11,3,3,2
"297",40749,37822,2720,2021,16551,546,705,314,1031,20,59,13,7,5,4
"298",19228,18593,339,504,5580,187,199,54,414,3,9,4,1,3,2
"299",28780,27514,833,510,3530,116,180,128,548,11,17,11,1,3,3
"300",36944,34110,1114,725,4650,212,301,107,464,4,12,12,0,3,4
"301",36350,33419,1078,1522,10801,776,344,239,2579,4,32,24,0,3,4
"302",29990,27757,1078,414,1936,83,194,48,206,3,7,4,2,2,4
"303",17314,15737,536,2060,48764,720,637,409,3706,8,72,19,0,2,2
"304",10355,9267,270,194,1229,63,76,20,48,1,5,2,0,1,1
"305",29123,26912,5383,2943,21254,622,1124,785,3191,34,47,18,14,3,4
"306",34681,32635,2644,1078,9583,224,447,179,502,14,28,7,3,6,4
"307",15440,14596,1806,605,2392,171,203,117,225,6,8,4,3,1,1
"308",24939,24139,2403,982,15657,238,421,144,700,15,22,4,4,8,3
"309",32286,30000,1118,2822,22188,941,1031,534,3090,10,80,22,4,2,4
"310",31504,29321,3120,996,4134,236,405,175,457,10,18,9,4,3,4
"311",23045,21396,2498,1128,5428,301,454,213,635,14,9,5,6,3,3
"312",27091,25182,1964,1182,3723,287,475,244,577,18,15,14,2,5,3
"313",43336,39977,1083,1502,10120,259,857,186,936,13,19,12,4,6,4
"314",22026,20906,2977,1490,5068,447,419,261,572,13,11,7,19,4,2
"315",22656,21390,1565,879,3809,239,292,111,270,8,11,5,1,6,3
"316",16934,15910,2802,707,3924,234,200,109,290,3,12,2,2,1,1
"317",19222,18285,972,832,3632,189,309,170,409,11,11,3,0,1,2
"318",15611,14683,1313,829,4930,201,271,151,382,13,15,4,5,1,1
"319",6780,6391,402,395,2319,105,138,62,178,1,3,2,2,3,1
"320",22193,21033,1895,1011,4991,241,362,164,364,18,11,6,5,2,2
"321",21492,19975,867,1126,5146,210,515,238,688,10,26,10,4,2,2
"322",20869,19507,1038,975,3451,205,477,153,492,14,17,8,1,6,2
"323",48320,45615,3069,1306,9069,204,503,161,506,11,13,10,8,8,4
"324",35363,33499,4831,2836,15172,701,1180,468,1406,18,46,22,12,7,4
"325",25473,23675,640,705,7123,101,415,70,368,5,12,6,1,1,3
"326",29984,28062,2150,797,4476,158,396,134,472,14,13,12,6,5,4
"327",20831,19497,3405,2979,19877,1003,818,544,1320,13,56,7,4,1,2
"328",35740,33659,6527,2222,21918,477,886,387,1494,12,58,14,2,5,4
"329",13325,12416,1955,987,4220,295,295,189,507,10,14,4,3,7,1
"330",12778,11503,2147,1331,4552,331,418,374,975,6,11,5,14,4,1
"331",24477,23117,2720,1953,10327,543,615,329,854,9,20,3,10,6,3
"332",18985,17740,3240,855,2780,226,312,138,309,11,10,5,4,4,2
"333",32002,30073,2377,5146,41308,1314,1036,502,1716,14,62,13,3,4,4
"334",17515,16642,4160,1037,4869,287,355,223,506,9,20,6,7,4,2
"335",15997,14928,1928,839,2547,288,252,134,287,8,11,3,5,5,1
"336",9299,8681,1200,375,1562,94,141,63,125,6,6,0,0,1,1
"337",9772,9067,1253,479,2512,144,140,96,231,4,7,0,1,0,1
"338",18437,17131,2492,1094,4613,240,425,201,617,8,32,3,3,3,2
"339",17002,15962,1344,539,2608,141,191,114,317,6,17,6,1,2,2
"340",17633,16500,3106,1845,21615,469,507,285,832,6,30,9,2,2,2
"341",22719,21773,2921,2009,19842,472,692,333,1248,7,53,13,2,4,3
"342",33572,29794,2041,7996,157918,1612,3190,1654,10026,32,249,48,4,8,4
"343",25350,23147,7884,6092,35886,2578,1305,1088,4918,26,94,24,11,3,3
"344",22344,20844,2777,1295,5087,554,349,243,881,8,26,6,5,3,3
"345",7821,6524,2475,1729,18326,452,508,506,2135,10,51,18,7,0,1
"346",14858,13706,2950,747,1885,198,229,189,403,15,14,5,2,4,1
"347",13502,11932,1067,342,4698,102,111,53,193,1,11,2,0,2,1
"348",12625,11786,1370,572,1792,212,160,115,258,12,10,3,2,2,1
"349",10689,9806,1789,493,1944,112,128,182,609,5,23,9,1,2,1
"350",15421,14221,2307,1766,14972,752,397,326,936,9,43,8,3,2,1
"351",14912,13659,1429,900,5695,433,236,108,265,5,12,3,1,1,1
"352",28302,24433,1229,789,3646,221,242,188,813,5,14,16,2,5,3
"353",8990,8126,716,261,776,79,75,27,62,4,6,2,0,2,1
"354",7042,5789,1444,1607,7581,645,193,630,3242,7,48,12,0,2,1
"355",9463,8331,1852,702,2875,167,134,295,857,3,48,18,1,3,1
"356",20105,19486,4681,1655,8902,341,430,400,1043,13,55,15,7,3,2
"357",17667,15391,3418,4991,42738,2703,1011,729,4015,7,129,19,0,3,2
"358",20514,17502,4094,2083,17886,526,622,607,3943,11,79,26,2,7,2
"359",8944,8150,879,372,2374,94,148,52,138,1,15,3,0,4,1
"360",18144,16472,2540,790,4112,211,236,196,562,9,30,6,2,4,2
